date,tempHigh,tempAvg,tempLow,dewHigh,dewAvg,dewLow,humHigh,humAvg,humLow,windHigh,windAvg,windGust,presHigh,presAvg,presLow,rain
Mar,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
15,32 °C,27.6 °C,23.2 °C,22.2 °C,21.7 °C,21.1 °C,90%,75%,57%,8 kph,3 kph,14 kph,1014 hPa,1008 hPa,1003 hPa,0.3 mm
16,33.6 °C,27.8 °C,22.1 °C,23.3 °C,22.2 °C,21.1 °C,95%,76%,53%,5 kph,2 kph,14 kph,1016 hPa,1013 hPa,1011 hPa,0 mm
17,34.4 °C,29 °C,23.6 °C,23.3 °C,22.1 °C,20.6 °C,91%,75%,49%,6 kph,2 kph,14 kph,1017 hPa,1014 hPa,1011 hPa,0 mm
18,35.5 °C,28.7 °C,21.9 °C,22.8 °C,21.5 °C,20.6 °C,92%,72%,44%,5 kph,2 kph,14 kph,1016 hPa,1013 hPa,1010 hPa,0 mm
19,34.2 °C,28.4 °C,22.5 °C,23.9 °C,22.3 °C,21.1 °C,94%,76%,49%,5 kph,2 kph,13 kph,1016 hPa,1014 hPa,1011 hPa,0 mm
20,33.9 °C,28.6 °C,23.3 °C,23.3 °C,22.2 °C,20.6 °C,93%,72%,50%,6 kph,3 kph,14 kph,1016 hPa,1014 hPa,1011 hPa,0 mm
21,32.2 °C,28.2 °C,24.1 °C,24.4 °C,22.9 °C,21.7 °C,92%,79%,60%,10 kph,3 kph,19 kph,1016 hPa,1013 hPa,1011 hPa,0 mm
22,33.1 °C,28.3 °C,23.6 °C,24.4 °C,22.5 °C,21.7 °C,93%,78%,58%,8 kph,3 kph,18 kph,1015 hPa,1013 hPa,1010 hPa,0 mm
23,36.6 °C,29.8 °C,23.1 °C,22.8 °C,21.7 °C,20.6 °C,92%,69%,42%,8 kph,3 kph,16 kph,1015 hPa,1012 hPa,1009 hPa,0 mm
24,34.3 °C,29.4 °C,24.6 °C,23.3 °C,22.1 °C,20.6 °C,87%,72%,50%,16 kph,6 kph,27 kph,1017 hPa,1014 hPa,1012 hPa,0 mm
25,32.8 °C,28.3 °C,23.8 °C,22.8 °C,21.9 °C,21.1 °C,90%,75%,56%,13 kph,5 kph,23 kph,1018 hPa,1016 hPa,1013 hPa,3.8 mm
26,30.1 °C,26 °C,21.8 °C,22.8 °C,20.9 °C,19.4 °C,95%,81%,60%,13 kph,6 kph,23 kph,1020 hPa,1017 hPa,1015 hPa,0 mm
27,29.4 °C,25.7 °C,21.9 °C,21.1 °C,19.5 °C,17.8 °C,87%,78%,59%,18 kph,6 kph,27 kph,1021 hPa,1019 hPa,1016 hPa,0 mm
28,26.1 °C,23.1 °C,20.1 °C,19.4 °C,18.3 °C,17.2 °C,91%,79%,68%,11 kph,4 kph,21 kph,1023 hPa,1021 hPa,1020 hPa,0 mm
29,28.7 °C,24.5 °C,20.3 °C,21.7 °C,19.9 °C,18.3 °C,91%,79%,63%,6 kph,2 kph,14 kph,1023 hPa,1021 hPa,1018 hPa,0 mm
30,30.3 °C,26.4 °C,22.6 °C,24.4 °C,22.5 °C,21.1 °C,96%,86%,66%,5 kph,2 kph,13 kph,1021 hPa,1018 hPa,1016 hPa,3 mm
31,35.4 °C,28.8 °C,22.2 °C,23.3 °C,22.1 °C,21.1 °C,97%,74%,46%,6 kph,3 kph,23 kph,1018 hPa,1015 hPa,1012 hPa,0 mm
2016,Temperature,,,Dew Point,,,Humidity,,,Speed,,,Pressure,,,Precip. Accum.
Apr,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,36.3 °C,29.5 °C,22.7 °C,24.4 °C,22.6 °C,20 °C,97%,76%,41%,6 kph,3 kph,19 kph,1017 hPa,1014 hPa,1011 hPa,3.6 mm
2,34.8 °C,29.3 °C,23.7 °C,24.4 °C,22.8 °C,20.6 °C,96%,74%,49%,8 kph,3 kph,16 kph,1017 hPa,1015 hPa,1013 hPa,0.3 mm
3,37 °C,29 °C,21.1 °C,22.2 °C,20.6 °C,19.4 °C,94%,69%,37%,6 kph,3 kph,18 kph,1018 hPa,1015 hPa,1011 hPa,0 mm
4,36.4 °C,28.8 °C,21.2 °C,21.7 °C,20 °C,18.3 °C,92%,68%,37%,6 kph,3 kph,19 kph,1016 hPa,1013 hPa,1010 hPa,0 mm
5,35.3 °C,27.8 °C,20.3 °C,22.2 °C,20.5 °C,18.3 °C,92%,70%,45%,6 kph,2 kph,16 kph,1017 hPa,1014 hPa,1011 hPa,0 mm
6,34.9 °C,28.5 °C,22.1 °C,22.2 °C,21.2 °C,20.6 °C,93%,72%,45%,5 kph,2 kph,18 kph,1017 hPa,1015 hPa,1012 hPa,0 mm
