date,tempHigh,tempAvg,tempLow,dewHigh,dewAvg,dewLow,humHigh,humAvg,humLow,windHigh,windAvg,windGust,presHigh,presAvg,presLow,rain
Mar,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
30,32.2 °C,28.6 °C,24.9 °C,24.4 °C,22.9 °C,22.2 °C,88%,70%,61%,13 kph,7 kph,29 kph,1015 hPa,1012 hPa,1008 hPa,0 mm
31,33.3 °C,27.2 °C,21.1 °C,23.9 °C,22.5 °C,20 °C,96%,78%,56%,13 kph,4 kph,26 kph,1015 hPa,1012 hPa,1010 hPa,0 mm
2016,Temperature,,,Dew Point,,,Humidity,,,Speed,,,Pressure,,,Precip. Accum.
Apr,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,32.3 °C,27.1 °C,21.8 °C,24.4 °C,22.3 °C,20.6 °C,96%,77%,57%,16 kph,5 kph,27 kph,1013 hPa,1012 hPa,1010 hPa,0 mm
2,32.2 °C,26.9 °C,21.6 °C,24.4 °C,21.9 °C,20 °C,94%,76%,58%,14 kph,6 kph,27 kph,1014 hPa,1012 hPa,1010 hPa,0 mm
3,33.1 °C,27.5 °C,21.9 °C,24.4 °C,21.7 °C,20 °C,95%,73%,53%,18 kph,6 kph,34 kph,1015 hPa,1013 hPa,1010 hPa,0 mm
4,33.2 °C,27.2 °C,21.2 °C,23.3 °C,21.6 °C,20 °C,94%,73%,52%,14 kph,6 kph,31 kph,1013 hPa,1011 hPa,1009 hPa,0 mm
5,33.1 °C,27.7 °C,22.2 °C,25 °C,22.6 °C,20.6 °C,93%,79%,57%,11 kph,3 kph,23 kph,1014 hPa,1012 hPa,1009 hPa,0 mm
6,33.2 °C,28 °C,22.9 °C,23.9 °C,22.7 °C,20.6 °C,93%,75%,49%,18 kph,7 kph,35 kph,1013 hPa,1011 hPa,1009 hPa,0 mm
7,33.2 °C,27.2 °C,21.1 °C,23.3 °C,21.7 °C,19.4 °C,96%,74%,45%,14 kph,6 kph,29 kph,1014 hPa,1012 hPa,1010 hPa,0 mm
8,33.7 °C,28.6 °C,23.5 °C,24.4 °C,22.9 °C,21.7 °C,91%,74%,52%,13 kph,6 kph,27 kph,1013 hPa,1011 hPa,1009 hPa,0 mm
9,32.9 °C,27.6 °C,22.3 °C,23.9 °C,22.3 °C,20.6 °C,91%,73%,54%,18 kph,7 kph,34 kph,1012 hPa,1010 hPa,1008 hPa,0 mm
10,33.4 °C,27.6 °C,21.7 °C,23.3 °C,21.1 °C,19.4 °C,92%,73%,45%,13 kph,5 kph,27 kph,1012 hPa,1010 hPa,1008 hPa,0 mm
11,33.3 °C,26.2 °C,19.2 °C,23.3 °C,21.3 °C,17.8 °C,94%,75%,56%,13 kph,4 kph,29 kph,1011 hPa,1009 hPa,1006 hPa,0 mm
12,34.2 °C,27.9 °C,21.7 °C,25 °C,22.8 °C,20 °C,93%,77%,52%,13 kph,5 kph,27 kph,1011 hPa,1008 hPa,1006 hPa,0 mm
13,33.9 °C,28.9 °C,23.9 °C,26.1 °C,24.4 °C,22.8 °C,94%,81%,58%,14 kph,4 kph,31 kph,1010 hPa,1008 hPa,1006 hPa,0 mm
14,34.2 °C,29.2 °C,24.2 °C,26.1 °C,24.7 °C,22.8 °C,95%,80%,56%,13 kph,5 kph,26 kph,1011 hPa,1010 hPa,1008 hPa,0 mm
15,34.9 °C,29.7 °C,24.3 °C,26.7 °C,24.7 °C,22.2 °C,94%,78%,62%,13 kph,5 kph,29 kph,1012 hPa,1010 hPa,1008 hPa,0 mm
16,33.5 °C,29.2 °C,24.8 °C,25.6 °C,24.3 °C,22.8 °C,91%,78%,59%,14 kph,6 kph,29 kph,1012 hPa,1010 hPa,1008 hPa,0 mm
17,33.3 °C,28.8 °C,24.2 °C,25 °C,23.4 °C,21.7 °C,92%,74%,57%,16 kph,7 kph,32 kph,1013 hPa,1010 hPa,1008 hPa,0 mm
18,34.9 °C,28.8 °C,22.6 °C,24.4 °C,22.4 °C,20.6 °C,91%,71%,49%,14 kph,6 kph,31 kph,1013 hPa,1011 hPa,1009 hPa,0 mm
19,34.4 °C,29 °C,23.6 °C,23.3 °C,22.3 °C,21.7 °C,90%,68%,51%,19 kph,9 kph,37 kph,1014 hPa,1012 hPa,1010 hPa,0 mm
20,33.8 °C,29.3 °C,24.8 °C,25 °C,22.8 °C,20 °C,90%,70%,50%,18 kph,7 kph,34 kph,1013 hPa,1011 hPa,1008 hPa,0 mm
21,33.7 °C,27.8 °C,22.1 °C,23.9 °C,22.6 °C,20.6 °C,94%,73%,54%,14 kph,6 kph,35 kph,1013 hPa,1011 hPa,1009 hPa,0 mm
22,33.8 °C,27.7 °C,21.7 °C,25.6 °C,22.9 °C,20 °C,93%,76%,59%,14 kph,5 kph,29 kph,1011 hPa,1009 hPa,1007 hPa,0 mm
23,33.8 °C,27.4 °C,21.2 °C,25 °C,22.4 °C,19.4 °C,94%,77%,54%,14 kph,5 kph,31 kph,1012 hPa,1009 hPa,1007 hPa,0 mm
24,33.8 °C,26.9 °C,20.1 °C,24.4 °C,22.3 °C,18.9 °C,94%,77%,56%,14 kph,5 kph,26 kph,1011 hPa,1009 hPa,1007 hPa,0 mm
25,34.8 °C,27.8 °C,20.8 °C,24.4 °C,21.6 °C,19.4 °C,94%,72%,45%,14 kph,4 kph,31 kph,1011 hPa,1009 hPa,1007 hPa,0 mm
26,35.2 °C,28 °C,20.9 °C,23.3 °C,20.6 °C,17.8 °C,94%,69%,37%,16 kph,5 kph,34 kph,1011 hPa,1009 hPa,1007 hPa,0 mm
27,35 °C,28.1 °C,21.1 °C,25 °C,22.7 °C,19.4 °C,92%,74%,53%,14 kph,4 kph,24 kph,1010 hPa,1007 hPa,1005 hPa,0 mm
28,35 °C,29.2 °C,23.4 °C,25.6 °C,23.8 °C,21.7 °C,92%,76%,57%,13 kph,3 kph,26 kph,1010 hPa,1008 hPa,1006 hPa,0 mm
29,33.3 °C,29.7 °C,26.2 °C,25.6 °C,24.8 °C,23.9 °C,90%,81%,64%,11 kph,3 kph,23 kph,1010 hPa,1009 hPa,1007 hPa,0.8 mm
30,34.8 °C,29.7 °C,24.6 °C,25.6 °C,24.1 °C,23.3 °C,96%,76%,53%,14 kph,5 kph,29 kph,1010 hPa,1009 hPa,1007 hPa,0 mm
2016,Temperature,,,Dew Point,,,Humidity,,,Speed,,,Pressure,,,Precip. Accum.
May,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,34.6 °C,29.1 °C,23.6 °C,25.6 °C,23.8 °C,22.2 °C,94%,76%,54%,14 kph,5 kph,27 kph,1011 hPa,1009 hPa,1007 hPa,0 mm
