date,tempHigh,tempAvg,tempLow,dewHigh,dewAvg,dewLow,humHigh,humAvg,humLow,windHigh,windAvg,windGust,presHigh,presAvg,presLow,rain
Apr,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
14,34.9 °C,31.3 °C,27.7 °C,25 °C,24.2 °C,23.3 °C,85%,72%,53%,18 kph,10 kph,29 kph,1014 hPa,1006 hPa,997 hPa,0 mm
15,33.9 °C,30.2 °C,26.4 °C,25 °C,24.2 °C,22.8 °C,90%,74%,55%,18 kph,9 kph,31 kph,1015 hPa,1013 hPa,1011 hPa,0 mm
16,34.3 °C,30.3 °C,26.4 °C,24.4 °C,22.7 °C,18.9 °C,87%,69%,43%,19 kph,11 kph,37 kph,1015 hPa,1013 hPa,1011 hPa,0 mm
17,33.3 °C,29.2 °C,25.1 °C,22.8 °C,21.2 °C,19.4 °C,82%,66%,45%,19 kph,11 kph,37 kph,1015 hPa,1013 hPa,1011 hPa,0 mm
18,34 °C,28.5 °C,23.1 °C,23.9 °C,22.2 °C,18.9 °C,92%,72%,42%,16 kph,5 kph,27 kph,1016 hPa,1014 hPa,1012 hPa,0 mm
19,33.3 °C,29 °C,24.8 °C,23.3 °C,21.7 °C,19.4 °C,89%,68%,46%,18 kph,8 kph,37 kph,1016 hPa,1014 hPa,1013 hPa,0 mm
20,32.2 °C,28.4 °C,24.7 °C,24.4 °C,22.8 °C,20.6 °C,93%,74%,58%,18 kph,7 kph,31 kph,1016 hPa,1014 hPa,1011 hPa,1 mm
21,33.6 °C,28.8 °C,24.1 °C,23.3 °C,22.2 °C,20.6 °C,91%,71%,47%,18 kph,6 kph,31 kph,1016 hPa,1014 hPa,1011 hPa,0 mm
22,33.8 °C,29 °C,24.1 °C,24.4 °C,23.1 °C,21.7 °C,92%,73%,51%,18 kph,8 kph,29 kph,1014 hPa,1012 hPa,1010 hPa,0 mm
23,33.9 °C,30.1 °C,26.3 °C,23.9 °C,22.3 °C,19.4 °C,84%,68%,44%,18 kph,9 kph,27 kph,1014 hPa,1012 hPa,1010 hPa,0 mm
