date,tempHigh,tempAvg,tempLow,dewHigh,dewAvg,dewLow,humHigh,humAvg,humLow,windHigh,windAvg,windGust,presHigh,presAvg,presLow,rain
Jun,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
3,34 °C,29.5 °C,25 °C,25 °C,24.1 °C,22.2 °C,93%,79%,53%,5 kph,0 kph,13 kph,1014 hPa,1009 hPa,1004 hPa,0.3 mm
4,35 °C,29.4 °C,23.8 °C,24.4 °C,23.3 °C,21.7 °C,96%,75%,48%,8 kph,3 kph,21 kph,1015 hPa,1012 hPa,1009 hPa,0 mm
5,34.6 °C,29.4 °C,24.2 °C,24.4 °C,23.4 °C,22.2 °C,95%,77%,55%,8 kph,3 kph,19 kph,1015 hPa,1011 hPa,1008 hPa,0.3 mm
6,34.4 °C,28.8 °C,23.1 °C,25.6 °C,22.9 °C,21.7 °C,94%,79%,51%,8 kph,3 kph,21 kph,1015 hPa,1012 hPa,1009 hPa,0 mm
7,35.4 °C,29.2 °C,23 °C,24.4 °C,23.2 °C,21.7 °C,96%,75%,48%,10 kph,3 kph,24 kph,1015 hPa,1012 hPa,1008 hPa,0 mm
8,35.8 °C,29.9 °C,24.1 °C,24.4 °C,23.4 °C,21.1 °C,95%,72%,44%,10 kph,3 kph,23 kph,1014 hPa,1011 hPa,1008 hPa,0 mm
9,30.4 °C,27.4 °C,24.3 °C,24.4 °C,23.6 °C,22.8 °C,95%,89%,72%,3 kph,2 kph,10 kph,1015 hPa,1014 hPa,1012 hPa,2 mm
10,34.4 °C,29.6 °C,24.8 °C,26.1 °C,23.4 °C,21.7 °C,94%,79%,50%,8 kph,3 kph,16 kph,1016 hPa,1013 hPa,1010 hPa,0 mm
11,34.4 °C,28.8 °C,23.2 °C,24.4 °C,23.1 °C,22.2 °C,96%,77%,51%,8 kph,2 kph,19 kph,1017 hPa,1013 hPa,1009 hPa,0 mm
12,34.6 °C,28.9 °C,23.3 °C,24.4 °C,23.2 °C,22.2 °C,95%,80%,50%,8 kph,2 kph,19 kph,1018 hPa,1013 hPa,1008 hPa,0.3 mm
13,34.1 °C,28.7 °C,23.4 °C,24.4 °C,23.6 °C,22.2 °C,97%,87%,55%,6 kph,2 kph,19 kph,1016 hPa,1009 hPa,1002 hPa,8.9 mm
14,34.4 °C,28.6 °C,22.8 °C,24.4 °C,23.2 °C,22.2 °C,97%,81%,52%,8 kph,2 kph,21 kph,1015 hPa,1010 hPa,1005 hPa,0 mm
15,34.8 °C,29.2 °C,23.7 °C,25 °C,23.7 °C,22.8 °C,97%,78%,52%,8 kph,2 kph,19 kph,1015 hPa,1011 hPa,1007 hPa,0 mm
16,33.8 °C,28.9 °C,24.1 °C,25 °C,23.8 °C,22.8 °C,96%,82%,59%,5 kph,2 kph,14 kph,1014 hPa,1009 hPa,1004 hPa,46.2 mm
17,33.8 °C,28.8 °C,23.8 °C,25.6 °C,24 °C,22.2 °C,98%,83%,55%,6 kph,2 kph,16 kph,1014 hPa,1010 hPa,1005 hPa,5.6 mm
18,32.1 °C,28.2 °C,24.3 °C,26.1 °C,24.4 °C,23.3 °C,97%,85%,66%,6 kph,2 kph,18 kph,1013 hPa,1010 hPa,1006 hPa,4.3 mm
19,32.1 °C,28.2 °C,24.3 °C,25.6 °C,24.2 °C,22.8 °C,96%,84%,63%,5 kph,2 kph,16 kph,1014 hPa,1009 hPa,1005 hPa,0.5 mm
20,33.5 °C,29 °C,24.5 °C,25.6 °C,24.3 °C,23.3 °C,97%,83%,63%,8 kph,2 kph,18 kph,1013 hPa,1009 hPa,1005 hPa,20.1 mm
21,31.4 °C,27.7 °C,23.9 °C,25.6 °C,23.8 °C,22.8 °C,97%,87%,68%,10 kph,3 kph,21 kph,1014 hPa,1010 hPa,1006 hPa,10.9 mm
22,31.6 °C,27.6 °C,23.6 °C,24.4 °C,23.6 °C,22.2 °C,96%,82%,62%,8 kph,3 kph,23 kph,1012 hPa,1009 hPa,1006 hPa,0.8 mm
23,32.1 °C,28.4 °C,24.7 °C,25.6 °C,23.8 °C,22.2 °C,96%,85%,66%,6 kph,2 kph,14 kph,1014 hPa,1010 hPa,1005 hPa,16 mm
24,32.3 °C,28.4 °C,24.4 °C,23.9 °C,23.2 °C,22.2 °C,96%,82%,57%,10 kph,4 kph,19 kph,1014 hPa,1009 hPa,1004 hPa,2.3 mm
25,29.4 °C,26.3 °C,23.1 °C,25 °C,23.2 °C,22.2 °C,97%,87%,74%,5 kph,1 kph,11 kph,1014 hPa,1011 hPa,1008 hPa,11.2 mm
26,32.4 °C,28.5 °C,24.6 °C,25 °C,23.3 °C,22.2 °C,95%,79%,60%,6 kph,2 kph,16 kph,1014 hPa,1010 hPa,1006 hPa,0 mm
27,34 °C,29.1 °C,24.2 °C,25.6 °C,23.6 °C,22.2 °C,97%,83%,56%,8 kph,3 kph,21 kph,1015 hPa,1009 hPa,1003 hPa,0.3 mm
28,28.4 °C,26.1 °C,23.7 °C,24.4 °C,23.3 °C,22.2 °C,96%,87%,78%,5 kph,1 kph,14 kph,1015 hPa,1012 hPa,1010 hPa,0 mm
29,32.7 °C,27.9 °C,23.1 °C,25.6 °C,23.6 °C,22.2 °C,97%,84%,63%,6 kph,2 kph,18 kph,1016 hPa,1012 hPa,1008 hPa,0.5 mm
30,32.8 °C,28.3 °C,23.8 °C,25.6 °C,23.8 °C,22.8 °C,97%,84%,60%,8 kph,2 kph,19 kph,1016 hPa,1011 hPa,1007 hPa,0 mm
2016,Temperature,,,Dew Point,,,Humidity,,,Speed,,,Pressure,,,Precip. Accum.
Jul,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,33.2 °C,28.4 °C,23.7 °C,25.6 °C,23.6 °C,22.2 °C,96%,87%,60%,6 kph,1 kph,18 kph,1015 hPa,1010 hPa,1005 hPa,2.3 mm
2,34.1 °C,28.9 °C,23.8 °C,25.6 °C,23.5 °C,20.6 °C,97%,81%,56%,10 kph,2 kph,31 kph,1016 hPa,1010 hPa,1005 hPa,0.8 mm
3,33.3 °C,28.6 °C,23.9 °C,24.4 °C,23.3 °C,21.7 °C,93%,76%,58%,10 kph,3 kph,27 kph,1016 hPa,1012 hPa,1008 hPa,0 mm
4,33.8 °C,29.3 °C,24.7 °C,24.4 °C,23.2 °C,22.2 °C,91%,75%,54%,8 kph,3 kph,21 kph,1015 hPa,1011 hPa,1007 hPa,0 mm
5,34 °C,29.2 °C,24.3 °C,25 °C,23.2 °C,21.7 °C,92%,77%,53%,6 kph,2 kph,18 kph,1014 hPa,1010 hPa,1007 hPa,0.8 mm
6,34.2 °C,28.4 °C,22.8 °C,25 °C,23.1 °C,21.1 °C,95%,77%,54%,6 kph,2 kph,16 kph,1016 hPa,1012 hPa,1007 hPa,0 mm
7,32.1 °C,27.8 °C,23.7 °C,25 °C,23.5 °C,22.8 °C,97%,84%,61%,3 kph,1 kph,13 kph,1014 hPa,1010 hPa,1007 hPa,15.7 mm
8,34.6 °C,28.8 °C,23 °C,25 °C,23.6 °C,22.2 °C,97%,82%,53%,10 kph,1 kph,21 kph,1016 hPa,1011 hPa,1007 hPa,0 mm
9,34.2 °C,28.9 °C,23.6 °C,25 °C,23.4 °C,21.7 °C,97%,81%,50%,8 kph,2 kph,23 kph,1016 hPa,1011 hPa,1006 hPa,0.3 mm
10,33.6 °C,28.3 °C,23.1 °C,24.4 °C,23.4 °C,22.2 °C,97%,80%,55%,6 kph,2 kph,16 kph,1016 hPa,1013 hPa,1009 hPa,0 mm
11,33.6 °C,29 °C,24.4 °C,25 °C,23.8 °C,22.8 °C,97%,79%,55%,6 kph,2 kph,18 kph,1016 hPa,1013 hPa,1009 hPa,0 mm
12,31.2 °C,27.7 °C,24.2 °C,25.6 °C,23.9 °C,22.8 °C,96%,86%,66%,5 kph,1 kph,16 kph,1014 hPa,1010 hPa,1006 hPa,1.3 mm
13,33.6 °C,28.3 °C,23 °C,24.4 °C,23.2 °C,22.2 °C,97%,83%,56%,11 kph,2 kph,23 kph,1015 hPa,1010 hPa,1006 hPa,0.3 mm
14,33.4 °C,28.2 °C,22.9 °C,24.4 °C,23.2 °C,22.2 °C,97%,81%,53%,8 kph,2 kph,19 kph,1016 hPa,1012 hPa,1008 hPa,0 mm
15,33.9 °C,28.6 °C,23.3 °C,24.4 °C,23.3 °C,22.2 °C,96%,79%,53%,6 kph,2 kph,18 kph,1015 hPa,1012 hPa,1008 hPa,0 mm
16,34.4 °C,28.9 °C,23.4 °C,24.4 °C,23.2 °C,21.1 °C,97%,76%,48%,6 kph,2 kph,16 kph,1015 hPa,1012 hPa,1008 hPa,0 mm
17,34.2 °C,28.4 °C,22.8 °C,24.4 °C,22.9 °C,21.7 °C,96%,77%,49%,6 kph,2 kph,19 kph,1016 hPa,1013 hPa,1009 hPa,0 mm
