date,tempHigh,tempAvg,tempLow,dewHigh,dewAvg,dewLow,humHigh,humAvg,humLow,windHigh,windAvg,windGust,presHigh,presAvg,presLow,rain
Apr,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
28,37.1 °C,31.1 °C,25.1 °C,25.6 °C,21.5 °C,23.3 °C,91%,68%,53%,6 kph,2 kph,18 kph,1011 hPa,1010 hPa,1008 hPa,0.5 mm
29,33.9 °C,28.8 °C,23.7 °C,25 °C,23.6 °C,22.2 °C,95%,77%,56%,6 kph,2 kph,18 kph,1013 hPa,1011 hPa,1009 hPa,0 mm
30,33.9 °C,28.8 °C,23.6 °C,25 °C,23.2 °C,21.7 °C,94%,76%,56%,6 kph,2 kph,18 kph,1014 hPa,1011 hPa,1008 hPa,0 mm
2016,Temperature,,,Dew Point,,,Humidity,,,Speed,,,Pressure,,,Precip. Accum.
May,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,34.1 °C,28.9 °C,23.7 °C,25.6 °C,23.8 °C,21.7 °C,91%,75%,59%,6 kph,2 kph,18 kph,1015 hPa,1012 hPa,1008 hPa,0 mm
2,34.7 °C,30.4 °C,26.1 °C,26.1 °C,24.9 °C,23.9 °C,92%,75%,58%,5 kph,2 kph,14 kph,1015 hPa,1011 hPa,1008 hPa,0 mm
3,32.6 °C,29.4 °C,26.2 °C,26.7 °C,25.5 °C,23.9 °C,94%,86%,70%,3 kph,1 kph,8 kph,1015 hPa,1010 hPa,1006 hPa,19.6 mm
4,32.7 °C,29.1 °C,25.6 °C,26.7 °C,25.5 °C,24.4 °C,95%,87%,70%,5 kph,1 kph,16 kph,1019 hPa,1011 hPa,1003 hPa,3.8 mm
5,33.9 °C,29.2 °C,24.6 °C,26.1 °C,25.1 °C,23.3 °C,96%,80%,64%,6 kph,2 kph,18 kph,1016 hPa,1010 hPa,1004 hPa,0 mm
6,34.3 °C,29.9 °C,25.7 °C,26.1 °C,25.2 °C,23.9 °C,93%,78%,63%,8 kph,3 kph,24 kph,1014 hPa,1009 hPa,1004 hPa,0 mm
7,34.2 °C,29.9 °C,25.7 °C,26.7 °C,25.4 °C,24.4 °C,94%,79%,61%,8 kph,3 kph,24 kph,1014 hPa,1010 hPa,1005 hPa,0 mm
8,33.1 °C,29.3 °C,25.6 °C,26.7 °C,25.3 °C,24.4 °C,94%,83%,67%,6 kph,2 kph,14 kph,1015 hPa,1009 hPa,1003 hPa,1.8 mm
9,34.4 °C,29.1 °C,23.8 °C,26.1 °C,24.5 °C,21.7 °C,95%,78%,48%,6 kph,2 kph,19 kph,1015 hPa,1011 hPa,1006 hPa,0 mm
10,34.1 °C,29.5 °C,24.8 °C,26.1 °C,25.1 °C,23.3 °C,94%,79%,59%,5 kph,2 kph,16 kph,1015 hPa,1011 hPa,1007 hPa,0 mm
11,34.6 °C,29.9 °C,25.2 °C,26.1 °C,25 °C,23.3 °C,95%,79%,56%,5 kph,2 kph,16 kph,1014 hPa,1010 hPa,1006 hPa,0 mm
12,34.3 °C,29.7 °C,25.1 °C,26.7 °C,25.2 °C,23.9 °C,95%,78%,63%,5 kph,2 kph,19 kph,1012 hPa,1009 hPa,1005 hPa,0 mm
13,34.9 °C,30.3 °C,25.7 °C,26.1 °C,25.2 °C,23.9 °C,94%,77%,54%,6 kph,2 kph,18 kph,1013 hPa,1009 hPa,1005 hPa,0 mm
14,34.3 °C,29.5 °C,24.8 °C,26.7 °C,25.2 °C,23.3 °C,94%,78%,63%,10 kph,3 kph,21 kph,1013 hPa,1010 hPa,1007 hPa,0 mm
15,35.2 °C,30.2 °C,25.2 °C,26.7 °C,25.3 °C,23.9 °C,95%,77%,57%,8 kph,2 kph,18 kph,1013 hPa,1009 hPa,1005 hPa,0 mm
16,34.4 °C,30.3 °C,26.2 °C,26.7 °C,25.6 °C,24.4 °C,95%,79%,64%,8 kph,2 kph,23 kph,1011 hPa,1008 hPa,1005 hPa,1.5 mm
17,34.3 °C,29.9 °C,25.6 °C,27.2 °C,25.7 °C,24.4 °C,95%,80%,63%,8 kph,2 kph,18 kph,1013 hPa,1008 hPa,1004 hPa,0.3 mm
18,34.1 °C,29.6 °C,25.1 °C,26.1 °C,24.7 °C,23.3 °C,93%,81%,63%,8 kph,2 kph,19 kph,1013 hPa,1008 hPa,1004 hPa,0 mm
19,34.1 °C,29.4 °C,24.7 °C,26.1 °C,25 °C,23.3 °C,95%,83%,62%,6 kph,2 kph,19 kph,1013 hPa,1008 hPa,1002 hPa,0.3 mm
20,34.1 °C,29.3 °C,24.6 °C,26.1 °C,24.6 °C,23.3 °C,96%,88%,61%,8 kph,1 kph,21 kph,1013 hPa,1008 hPa,1004 hPa,4.1 mm
21,33.8 °C,28.8 °C,23.8 °C,27.2 °C,24.9 °C,22.8 °C,97%,84%,65%,5 kph,1 kph,14 kph,1014 hPa,1009 hPa,1005 hPa,0 mm
22,34.3 °C,29.8 °C,25.2 °C,27.2 °C,25.3 °C,24.4 °C,96%,81%,62%,10 kph,2 kph,23 kph,1013 hPa,1010 hPa,1007 hPa,0 mm
23,33.6 °C,29.4 °C,25.3 °C,26.7 °C,24.9 °C,23.9 °C,96%,84%,68%,6 kph,1 kph,16 kph,1016 hPa,1011 hPa,1006 hPa,1 mm
24,33.8 °C,29.6 °C,25.3 °C,26.7 °C,25.1 °C,23.9 °C,95%,81%,62%,8 kph,2 kph,23 kph,1015 hPa,1010 hPa,1004 hPa,0 mm
25,30.2 °C,27.6 °C,25 °C,26.1 °C,24.2 °C,22.8 °C,96%,87%,73%,3 kph,1 kph,13 kph,1016 hPa,1011 hPa,1006 hPa,18.8 mm
26,32.1 °C,28.1 °C,24.1 °C,26.1 °C,24.9 °C,22.2 °C,94%,84%,70%,5 kph,1 kph,14 kph,1017 hPa,1012 hPa,1006 hPa,0 mm
27,33.1 °C,28.9 °C,24.8 °C,26.7 °C,25.6 °C,23.9 °C,96%,86%,68%,5 kph,2 kph,16 kph,1017 hPa,1011 hPa,1005 hPa,7.6 mm
28,33.3 °C,29 °C,24.7 °C,27.2 °C,25.4 °C,23.9 °C,96%,85%,67%,6 kph,1 kph,16 kph,1019 hPa,1013 hPa,1006 hPa,0.8 mm
