date,tempHigh,tempAvg,tempLow,dewHigh,dewAvg,dewLow,humHigh,humAvg,humLow,windHigh,windAvg,windGust,presHigh,presAvg,presLow,rain
Jun,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
22,30.2 °C,28.9 °C,27.7 °C,24.4 °C,22.1 °C,22.8 °C,78%,71%,69%,2 kph,0 kph,16 kph,1012 hPa,993 hPa,974 hPa,0 mm
23,31.9 °C,27.6 °C,23.3 °C,26.1 °C,23 °C,21.7 °C,95%,82%,65%,11 kph,2 kph,23 kph,1013 hPa,1010 hPa,1008 hPa,12.4 mm
24,31 °C,26.6 °C,22.3 °C,23.9 °C,22.2 °C,20.6 °C,96%,89%,62%,16 kph,2 kph,31 kph,1014 hPa,1002 hPa,991 hPa,45.7 mm
25,29.8 °C,26.2 °C,22.6 °C,23.9 °C,22.5 °C,21.1 °C,97%,89%,70%,6 kph,2 kph,11 kph,1018 hPa,1012 hPa,1006 hPa,1.8 mm
26,29.2 °C,26 °C,22.8 °C,24.4 °C,22.8 °C,21.7 °C,96%,87%,73%,10 kph,4 kph,32 kph,1015 hPa,1011 hPa,1007 hPa,0.5 mm
27,31.4 °C,27.2 °C,23.1 °C,24.4 °C,22.8 °C,22.2 °C,96%,87%,62%,16 kph,3 kph,23 kph,1016 hPa,1012 hPa,1007 hPa,5.6 mm
28,28.9 °C,25.9 °C,22.8 °C,24.4 °C,23.1 °C,21.7 °C,96%,89%,76%,6 kph,2 kph,16 kph,1018 hPa,1013 hPa,1009 hPa,0 mm
29,32.1 °C,27.1 °C,22.1 °C,23.9 °C,22.6 °C,21.1 °C,96%,79%,58%,23 kph,5 kph,34 kph,1019 hPa,1013 hPa,1008 hPa,0.5 mm
30,32 °C,27.3 °C,22.7 °C,23.9 °C,22.6 °C,21.7 °C,96%,86%,63%,13 kph,3 kph,32 kph,1014 hPa,1007 hPa,1000 hPa,67.6 mm
2016,Temperature,,,Dew Point,,,Humidity,,,Speed,,,Pressure,,,Precip. Accum.
Jul,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,30.7 °C,26.5 °C,22.3 °C,24.4 °C,22.4 °C,21.1 °C,96%,89%,69%,13 kph,4 kph,19 kph,1022 hPa,1007 hPa,992 hPa,16.8 mm
2,29.4 °C,25.9 °C,22.4 °C,24.4 °C,22.5 °C,21.1 °C,96%,92%,75%,10 kph,3 kph,18 kph,1021 hPa,1011 hPa,1000 hPa,26.4 mm
3,30.4 °C,26.2 °C,21.9 °C,24.4 °C,22.6 °C,21.1 °C,97%,89%,69%,8 kph,2 kph,16 kph,1023 hPa,1013 hPa,1003 hPa,9.9 mm
4,30.1 °C,26.1 °C,22.2 °C,23.9 °C,22.7 °C,21.1 °C,97%,90%,71%,10 kph,3 kph,18 kph,1022 hPa,1010 hPa,998 hPa,7.4 mm
5,30.4 °C,25.7 °C,21 °C,25 °C,22.4 °C,20 °C,97%,89%,74%,13 kph,3 kph,24 kph,1020 hPa,1010 hPa,1000 hPa,9.1 mm
6,30.1 °C,26.4 °C,22.9 °C,23.9 °C,22.7 °C,21.7 °C,96%,86%,68%,14 kph,5 kph,26 kph,1021 hPa,1011 hPa,1002 hPa,0 mm
7,29.7 °C,26.3 °C,23 °C,23.9 °C,22.7 °C,21.7 °C,94%,85%,71%,11 kph,4 kph,24 kph,1019 hPa,1013 hPa,1008 hPa,0 mm
8,28.1 °C,27.4 °C,26.7 °C,23.3 °C,22.9 °C,22.8 °C,81%,78%,76%,3 kph,2 kph,8 kph,1017 hPa,1017 hPa,1016 hPa,0 mm
9,22.3 °C,22.3 °C,22.3 °C,21.1 °C,21.1 °C,21.1 °C,96%,96%,96%,0 kph,0 kph,0 kph,1014 hPa,1014 hPa,1014 hPa,0 mm
10,21.6 °C,21.6 °C,21.5 °C,20.6 °C,20.6 °C,20.6 °C,96%,96%,96%,0 kph,0 kph,0 kph,1010 hPa,1009 hPa,1009 hPa,0 mm
24,33.2 °C,28 °C,22.8 °C,25 °C,22.8 °C,21.1 °C,93%,74%,55%,14 kph,4 kph,23 kph,1017 hPa,999 hPa,981 hPa,3 mm
25,32.1 °C,27.1 °C,22.1 °C,24.4 °C,22.4 °C,21.1 °C,96%,83%,60%,8 kph,3 kph,23 kph,1020 hPa,997 hPa,973 hPa,0 mm
26,32.1 °C,26.9 °C,21.7 °C,23.3 °C,22.1 °C,20.6 °C,96%,81%,54%,11 kph,3 kph,24 kph,1015 hPa,995 hPa,975 hPa,0 mm
27,32.7 °C,27 °C,21.3 °C,23.9 °C,22.2 °C,20.6 °C,96%,83%,56%,8 kph,3 kph,14 kph,1016 hPa,1008 hPa,1001 hPa,20.8 mm
28,30.9 °C,26.8 °C,22.7 °C,24.4 °C,22.4 °C,21.7 °C,96%,89%,66%,10 kph,3 kph,18 kph,1022 hPa,996 hPa,970 hPa,50.5 mm
29,26.6 °C,24.4 °C,22.2 °C,23.9 °C,22.3 °C,21.1 °C,97%,93%,83%,10 kph,3 kph,23 kph,1009 hPa,993 hPa,978 hPa,38.1 mm
