date,tempHigh,tempAvg,tempLow,dewHigh,dewAvg,dewLow,humHigh,humAvg,humLow,windHigh,windAvg,windGust,presHigh,presAvg,presLow,rain
2016,Temperature,,,Dew Point,,,Humidity,,,Speed,,,Pressure,,,Precip. Accum.
May,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
25,29.8 °C,27.8 °C,25.8 °C,26.1 °C,13.7 °C,23.3 °C,91%,64%,81%,2 kph,0 kph,5 kph,1012 hPa,1010 hPa,1008 hPa,0.5 mm
26,34.1 °C,29.3 °C,24.5 °C,25.6 °C,24.1 °C,22.8 °C,95%,80%,57%,5 kph,1 kph,16 kph,1011 hPa,1009 hPa,1006 hPa,1 mm
27,34.9 °C,29.9 °C,25.1 °C,25.6 °C,24.2 °C,22.8 °C,89%,78%,57%,5 kph,1 kph,16 kph,1012 hPa,1010 hPa,1008 hPa,0 mm
28,31.6 °C,28.1 °C,24.6 °C,25.6 °C,24.3 °C,22.8 °C,93%,84%,70%,6 kph,1 kph,16 kph,1013 hPa,1010 hPa,1007 hPa,0 mm
29,33.8 °C,29.1 °C,24.4 °C,25.6 °C,24.2 °C,22.2 °C,95%,84%,59%,5 kph,1 kph,16 kph,1011 hPa,1009 hPa,1007 hPa,25.7 mm
30,31.6 °C,27.9 °C,24.2 °C,26.7 °C,24.1 °C,22.2 °C,95%,88%,72%,3 kph,0 kph,11 kph,1011 hPa,1009 hPa,1007 hPa,31.5 mm
31,31.9 °C,27.9 °C,23.8 °C,26.7 °C,24.4 °C,22.8 °C,96%,85%,73%,3 kph,1 kph,14 kph,1011 hPa,1009 hPa,1007 hPa,0 mm
2016,Temperature,,,Dew Point,,,Humidity,,,Speed,,,Pressure,,,Precip. Accum.
Jun,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,31.5 °C,28 °C,24.6 °C,27.2 °C,24.6 °C,22.8 °C,93%,84%,73%,5 kph,1 kph,14 kph,1012 hPa,1009 hPa,1007 hPa,0 mm
2,30.2 °C,27.2 °C,24.3 °C,25.6 °C,24.1 °C,21.7 °C,92%,84%,70%,3 kph,1 kph,11 kph,1011 hPa,1010 hPa,1008 hPa,0 mm
3,31.7 °C,28.1 °C,24.6 °C,26.1 °C,24.4 °C,22.8 °C,93%,84%,71%,5 kph,1 kph,13 kph,1011 hPa,1009 hPa,1007 hPa,0 mm
4,31.7 °C,28.4 °C,25.2 °C,26.7 °C,24.7 °C,23.3 °C,94%,86%,73%,6 kph,2 kph,21 kph,1012 hPa,1010 hPa,1008 hPa,0.3 mm
