date,tempHigh,tempAvg,tempLow,dewHigh,dewAvg,dewLow,humHigh,humAvg,humLow,windHigh,windAvg,windGust,presHigh,presAvg,presLow,rain
2016,Temperature,,,Dew Point,,,Humidity,,,Speed,,,Pressure,,,Precip. Accum.
Apr,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
21,33.6 °C,28.7 °C,23.8 °C,25 °C,23.6 °C,21.7 °C,90%,75%,61%,8 kph,4 kph,21 kph,1011 hPa,1008 hPa,1005 hPa,0.3 mm
22,33.6 °C,27.8 °C,22 °C,25 °C,23.1 °C,21.1 °C,96%,78%,61%,8 kph,3 kph,26 kph,1011 hPa,1010 hPa,1008 hPa,0 mm
23,34.2 °C,27.4 °C,20.7 °C,24.4 °C,22.6 °C,20 °C,96%,78%,52%,8 kph,3 kph,19 kph,1012 hPa,1009 hPa,1007 hPa,0 mm
24,33.7 °C,27.8 °C,21.9 °C,25 °C,23.2 °C,21.1 °C,96%,80%,59%,6 kph,3 kph,21 kph,1011 hPa,1009 hPa,1007 hPa,0 mm
25,32.8 °C,27.1 °C,21.3 °C,25 °C,22.8 °C,20 °C,96%,80%,64%,8 kph,3 kph,24 kph,1011 hPa,1009 hPa,1008 hPa,0 mm
26,34 °C,27.9 °C,21.8 °C,24.4 °C,22.8 °C,20.6 °C,94%,77%,55%,8 kph,3 kph,23 kph,1010 hPa,1009 hPa,1007 hPa,0 mm
27,34.4 °C,29.6 °C,24.8 °C,25.6 °C,24.2 °C,23.3 °C,93%,80%,57%,6 kph,2 kph,18 kph,1009 hPa,1007 hPa,1005 hPa,0 mm
28,35.8 °C,29.3 °C,22.7 °C,24.4 °C,22.2 °C,19.4 °C,97%,71%,39%,6 kph,2 kph,19 kph,1010 hPa,1008 hPa,1006 hPa,0 mm
29,35.2 °C,28.3 °C,21.4 °C,26.1 °C,23.4 °C,20.6 °C,97%,80%,51%,5 kph,1 kph,14 kph,1010 hPa,1008 hPa,1007 hPa,0 mm
30,34.7 °C,29.1 °C,23.5 °C,25.6 °C,24.3 °C,22.8 °C,96%,81%,55%,5 kph,2 kph,16 kph,1010 hPa,1009 hPa,1007 hPa,0 mm
2016,Temperature,,,Dew Point,,,Humidity,,,Speed,,,Pressure,,,Precip. Accum.
May,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,34.7 °C,29.4 °C,24.1 °C,25.6 °C,23.9 °C,22.2 °C,96%,79%,58%,8 kph,3 kph,26 kph,1012 hPa,1010 hPa,1008 hPa,0 mm
2,34.2 °C,28.9 °C,23.7 °C,26.1 °C,24.1 °C,22.2 °C,96%,80%,62%,6 kph,3 kph,21 kph,1012 hPa,1010 hPa,1008 hPa,0 mm
3,34.9 °C,29.3 °C,23.7 °C,25 °C,23.8 °C,22.2 °C,96%,79%,48%,6 kph,2 kph,18 kph,1012 hPa,1009 hPa,1007 hPa,0 mm
4,34 °C,28.4 °C,22.9 °C,24.4 °C,23 °C,21.7 °C,96%,75%,53%,5 kph,2 kph,18 kph,1012 hPa,1010 hPa,1008 hPa,0 mm
5,33.1 °C,28.7 °C,24.3 °C,26.1 °C,23.8 °C,21.7 °C,93%,79%,63%,6 kph,3 kph,21 kph,1012 hPa,1010 hPa,1008 hPa,2.8 mm
6,33.6 °C,29.1 °C,24.5 °C,26.1 °C,24 °C,21.7 °C,96%,80%,61%,6 kph,3 kph,24 kph,1011 hPa,1009 hPa,1007 hPa,5.3 mm
7,33.3 °C,28 °C,22.7 °C,25 °C,22.7 °C,19.4 °C,95%,77%,50%,8 kph,3 kph,23 kph,1011 hPa,1009 hPa,1008 hPa,0 mm
8,34.3 °C,28.9 °C,23.5 °C,25.6 °C,23.8 °C,21.7 °C,92%,76%,56%,8 kph,4 kph,23 kph,1012 hPa,1010 hPa,1008 hPa,0 mm
9,32.9 °C,28.8 °C,24.8 °C,25.6 °C,24 °C,22.2 °C,94%,79%,64%,8 kph,3 kph,23 kph,1012 hPa,1010 hPa,1007 hPa,1.3 mm
10,34.1 °C,27.7 °C,21.3 °C,26.1 °C,23.1 °C,20 °C,96%,79%,55%,8 kph,3 kph,21 kph,1011 hPa,1009 hPa,1006 hPa,0 mm
11,35 °C,28.5 °C,22.1 °C,25 °C,23.2 °C,21.1 °C,96%,77%,49%,6 kph,2 kph,16 kph,1009 hPa,1007 hPa,1005 hPa,0 mm
12,33.8 °C,28.3 °C,22.8 °C,25.6 °C,23.9 °C,21.7 °C,96%,79%,60%,6 kph,3 kph,19 kph,1009 hPa,1007 hPa,1005 hPa,0 mm
13,34.1 °C,28.6 °C,23.2 °C,25.6 °C,23.4 °C,21.7 °C,94%,77%,55%,8 kph,3 kph,21 kph,1011 hPa,1009 hPa,1006 hPa,0 mm
14,33.6 °C,28.6 °C,23.6 °C,26.7 °C,23.9 °C,21.1 °C,95%,78%,56%,8 kph,4 kph,24 kph,1010 hPa,1009 hPa,1008 hPa,0 mm
15,33.6 °C,28.9 °C,24.2 °C,25 °C,23.3 °C,21.7 °C,90%,74%,59%,8 kph,3 kph,19 kph,1010 hPa,1008 hPa,1006 hPa,0 mm
16,33.3 °C,28.1 °C,22.9 °C,25.6 °C,23.6 °C,21.7 °C,95%,79%,65%,8 kph,2 kph,18 kph,1009 hPa,1006 hPa,1004 hPa,0 mm
17,33.9 °C,28.5 °C,23.1 °C,25.6 °C,23.9 °C,22.2 °C,96%,80%,59%,8 kph,2 kph,18 kph,1009 hPa,1008 hPa,1006 hPa,0 mm
18,33.7 °C,28.8 °C,24.1 °C,25.6 °C,24.1 °C,22.8 °C,96%,85%,62%,6 kph,2 kph,19 kph,1010 hPa,1008 hPa,1006 hPa,0 mm
