date,tempHigh,tempAvg,tempLow,dewHigh,dewAvg,dewLow,humHigh,humAvg,humLow,windHigh,windAvg,windGust,presHigh,presAvg,presLow,rain
2016,Temperature,,,Dew Point,,,Humidity,,,Speed,,,Pressure,,,Precip. Accum.
Mar,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
16,34.3 °C,29.8 °C,25.4 °C,23.3 °C,21.9 °C,21.1 °C,84%,66%,47%,10 kph,5 kph,21 kph,1013 hPa,1010 hPa,1006 hPa,0 mm
17,34.2 °C,28.6 °C,23.1 °C,23.9 °C,22.6 °C,21.7 °C,93%,75%,52%,6 kph,2 kph,18 kph,1016 hPa,1013 hPa,1010 hPa,0 mm
18,34.8 °C,28.5 °C,22.3 °C,23.9 °C,22.1 °C,20.6 °C,93%,75%,45%,10 kph,3 kph,18 kph,1016 hPa,1012 hPa,1009 hPa,0 mm
19,35.1 °C,28.7 °C,22.3 °C,24.4 °C,22.3 °C,20.6 °C,94%,76%,48%,10 kph,4 kph,18 kph,1016 hPa,1013 hPa,1010 hPa,0 mm
20,34.3 °C,28.4 °C,22.4 °C,23.3 °C,22.3 °C,20.6 °C,93%,77%,49%,13 kph,4 kph,23 kph,1016 hPa,1013 hPa,1009 hPa,0 mm
21,32.8 °C,28.4 °C,24 °C,23.9 °C,22.8 °C,21.7 °C,92%,79%,56%,6 kph,3 kph,14 kph,1015 hPa,1013 hPa,1010 hPa,0 mm
22,34.3 °C,28.6 °C,22.9 °C,23.9 °C,22.7 °C,21.1 °C,93%,77%,52%,6 kph,3 kph,21 kph,1015 hPa,1012 hPa,1008 hPa,0 mm
23,35.7 °C,30.2 °C,24.7 °C,23.9 °C,22.7 °C,21.1 °C,89%,72%,44%,6 kph,3 kph,18 kph,1014 hPa,1012 hPa,1009 hPa,0 mm
24,34 °C,29.2 °C,24.4 °C,23.3 °C,22.5 °C,21.1 °C,91%,76%,51%,14 kph,7 kph,29 kph,1016 hPa,1014 hPa,1012 hPa,0 mm
