date,tempHigh,tempAvg,tempLow,dewHigh,dewAvg,dewLow,humHigh,humAvg,humLow,windHigh,windAvg,windGust,presHigh,presAvg,presLow,rain
2016,Temperature,,,Dew Point,,,Humidity,,,Speed,,,Pressure,,,Precip. Accum.
Jan,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
4,30.7 °C,27.7 °C,24.6 °C,25 °C,6.1 °C,22.8 °C,90%,48%,71%,8 kph,1 kph,16 kph,1017 hPa,1015 hPa,1013 hPa,0 mm
5,31.9 °C,27.1 °C,22.2 °C,24.4 °C,13.4 °C,21.1 °C,96%,65%,54%,10 kph,2 kph,14 kph,1016 hPa,1014 hPa,1011 hPa,0 mm
6,28.7 °C,25.2 °C,21.7 °C,24.4 °C,13.3 °C,20.6 °C,95%,66%,74%,16 kph,3 kph,21 kph,1016 hPa,1014 hPa,1011 hPa,0 mm
7,29.1 °C,26.6 °C,24 °C,24.4 °C,15.1 °C,21.1 °C,92%,69%,68%,6 kph,1 kph,16 kph,1016 hPa,1014 hPa,1012 hPa,0 mm
8,28.8 °C,25.8 °C,22.9 °C,23.9 °C,-5.4 °C,21.7 °C,93%,26%,73%,3 kph,0 kph,5 kph,1015 hPa,1013 hPa,1011 hPa,0 mm
9,23.7 °C,23.4 °C,23.2 °C,22.8 °C,-13.2 °C,22.2 °C,94%,11%,94%,3 kph,0 kph,5 kph,1016 hPa,1014 hPa,1011 hPa,0 mm
10,25.6 °C,24.9 °C,24.2 °C,22.2 °C,13.3 °C,21.7 °C,87%,66%,80%,5 kph,1 kph,6 kph,1014 hPa,1013 hPa,1011 hPa,0 mm
11,30 °C,27.1 °C,24.1 °C,25 °C,0.9 °C,21.7 °C,89%,36%,71%,13 kph,1 kph,18 kph,1013 hPa,1012 hPa,1010 hPa,0 mm
12,26.8 °C,25.6 °C,24.3 °C,23.9 °C,1.8 °C,21.7 °C,94%,42%,73%,5 kph,0 kph,13 kph,1014 hPa,1012 hPa,1010 hPa,0 mm
13,27.4 °C,26.6 °C,25.6 °C,23.9 °C,-11.2 °C,22.8 °C,85%,13%,80%,5 kph,0 kph,10 kph,1014 hPa,1012 hPa,1010 hPa,0 mm
14,29.1 °C,26.2 °C,23.2 °C,24.4 °C,-5 °C,21.7 °C,91%,26%,74%,8 kph,1 kph,11 kph,1014 hPa,1012 hPa,1010 hPa,0 mm
