date,tempHigh,tempAvg,tempLow,dewHigh,dewAvg,dewLow,humHigh,humAvg,humLow,windHigh,windAvg,windGust,presHigh,presAvg,presLow,rain
May,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
6,33.1 °C,30.1 °C,27.1 °C,26.7 °C,18.2 °C,23.9 °C,85%,62%,68%,13 kph,6 kph,23 kph,1009 hPa,1008 hPa,1007 hPa,0 mm
7,33.4 °C,29.5 °C,25.6 °C,26.1 °C,24.1 °C,22.2 °C,86%,75%,54%,14 kph,7 kph,24 kph,1010 hPa,1009 hPa,1007 hPa,0 mm
8,34.3 °C,29.3 °C,24.2 °C,25 °C,23.1 °C,20 °C,88%,72%,44%,14 kph,7 kph,23 kph,1011 hPa,1010 hPa,1008 hPa,0 mm
9,32.6 °C,28.4 °C,24.1 °C,25.6 °C,23.1 °C,20 °C,85%,74%,59%,13 kph,7 kph,21 kph,1011 hPa,1009 hPa,1007 hPa,0 mm
10,32.4 °C,28.6 °C,24.7 °C,26.1 °C,24.2 °C,21.7 °C,87%,78%,63%,14 kph,7 kph,21 kph,1011 hPa,1009 hPa,1006 hPa,0 mm
11,32.8 °C,29.3 °C,25.8 °C,26.7 °C,24.4 °C,22.8 °C,86%,76%,60%,13 kph,6 kph,19 kph,1009 hPa,1007 hPa,1005 hPa,0 mm
12,32.7 °C,29 °C,25.4 °C,26.1 °C,24.2 °C,22.2 °C,86%,75%,64%,14 kph,7 kph,24 kph,1008 hPa,1007 hPa,1005 hPa,0 mm
13,33.1 °C,29.3 °C,25.4 °C,26.7 °C,24.5 °C,22.2 °C,90%,78%,55%,19 kph,7 kph,29 kph,1010 hPa,1008 hPa,1006 hPa,0 mm
14,32.8 °C,28.4 °C,24.1 °C,26.7 °C,24.2 °C,22.2 °C,91%,77%,59%,14 kph,7 kph,21 kph,1010 hPa,1009 hPa,1007 hPa,0 mm
15,32.9 °C,29.1 °C,25.3 °C,26.7 °C,24.1 °C,22.2 °C,90%,78%,61%,16 kph,8 kph,23 kph,1009 hPa,1008 hPa,1006 hPa,0 mm
16,33.1 °C,29.2 °C,25.3 °C,27.2 °C,24.6 °C,22.2 °C,93%,79%,61%,13 kph,7 kph,21 kph,1009 hPa,1006 hPa,1004 hPa,2 mm
17,32.2 °C,28.8 °C,25.3 °C,26.1 °C,24.3 °C,22.8 °C,91%,80%,64%,13 kph,7 kph,23 kph,1009 hPa,1008 hPa,1006 hPa,0 mm
18,32.9 °C,29.1 °C,25.3 °C,26.7 °C,24.2 °C,22.8 °C,91%,82%,66%,19 kph,7 kph,29 kph,1010 hPa,1008 hPa,1007 hPa,0 mm
19,32.4 °C,28.6 °C,24.8 °C,26.7 °C,24.2 °C,22.8 °C,93%,82%,59%,11 kph,7 kph,27 kph,1009 hPa,1007 hPa,1005 hPa,15.2 mm
20,32 °C,28.3 °C,24.6 °C,26.7 °C,24.7 °C,22.8 °C,93%,83%,70%,10 kph,7 kph,18 kph,1009 hPa,1008 hPa,1006 hPa,8.1 mm
21,32.4 °C,28.8 °C,25.2 °C,27.2 °C,24.6 °C,22.8 °C,93%,84%,67%,16 kph,6 kph,29 kph,1010 hPa,1008 hPa,1006 hPa,0.5 mm
22,32.5 °C,28.7 °C,24.9 °C,26.7 °C,24.7 °C,22.2 °C,88%,81%,70%,13 kph,8 kph,26 kph,1010 hPa,1009 hPa,1007 hPa,0.3 mm
23,32.4 °C,29 °C,25.6 °C,26.7 °C,24.9 °C,23.3 °C,94%,83%,68%,13 kph,6 kph,23 kph,1011 hPa,1009 hPa,1007 hPa,2.3 mm
