date,tempHigh,tempAvg,tempLow,dewHigh,dewAvg,dewLow,humHigh,humAvg,humLow,windHigh,windAvg,windGust,presHigh,presAvg,presLow,rain
2016,Temperature,,,Dew Point,,,Humidity,,,Speed,,,Pressure,,,Precip. Accum.
Apr,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,29.2 °C,25.8 °C,22.3 °C,21.7 °C,19.8 °C,16.1 °C,88%,77%,64%,14 kph,3 kph,16 kph,1014 hPa,1013 hPa,1011 hPa,0 mm
2,32.2 °C,26.2 °C,20.3 °C,20 °C,17.4 °C,14.4 °C,76%,60%,42%,13 kph,4 kph,23 kph,1015 hPa,1013 hPa,1010 hPa,0 mm
3,27.9 °C,23.9 °C,19.8 °C,22.2 °C,19.4 °C,16.1 °C,87%,75%,60%,14 kph,3 kph,24 kph,1015 hPa,1014 hPa,1012 hPa,0 mm
4,29.9 °C,24.8 °C,19.6 °C,22.8 °C,20.8 °C,18.3 °C,92%,80%,60%,14 kph,4 kph,21 kph,1015 hPa,1013 hPa,1010 hPa,0 mm
5,31.5 °C,25.3 °C,19.2 °C,22.8 °C,20.1 °C,17.8 °C,93%,73%,52%,16 kph,4 kph,21 kph,1015 hPa,1012 hPa,1009 hPa,0 mm
6,32.6 °C,27.2 °C,21.8 °C,21.1 °C,17.6 °C,16.7 °C,87%,64%,41%,21 kph,5 kph,24 kph,1014 hPa,1012 hPa,1009 hPa,0 mm
7,30.6 °C,25.7 °C,20.8 °C,22.2 °C,19.1 °C,15.6 °C,91%,71%,53%,16 kph,4 kph,23 kph,1014 hPa,1013 hPa,1011 hPa,0 mm
8,30.9 °C,25.7 °C,20.4 °C,23.3 °C,20.1 °C,17.8 °C,87%,74%,59%,13 kph,3 kph,19 kph,1014 hPa,1012 hPa,1010 hPa,0 mm
9,31.8 °C,25.6 °C,19.4 °C,23.3 °C,20 °C,16.7 °C,90%,71%,48%,16 kph,4 kph,23 kph,1013 hPa,1011 hPa,1009 hPa,0 mm
10,30.1 °C,25.9 °C,21.7 °C,23.3 °C,21.9 °C,20.6 °C,97%,89%,60%,16 kph,2 kph,21 kph,1013 hPa,1012 hPa,1010 hPa,13.2 mm
11,29.1 °C,25.3 °C,21.6 °C,24.4 °C,22.6 °C,21.1 °C,98%,90%,71%,16 kph,3 kph,21 kph,1014 hPa,1012 hPa,1010 hPa,7.4 mm
12,30.1 °C,25.3 °C,20.4 °C,24.4 °C,22.2 °C,20 °C,98%,85%,60%,14 kph,4 kph,24 kph,1013 hPa,1011 hPa,1008 hPa,0.3 mm
13,29.4 °C,25.1 °C,20.7 °C,24.4 °C,11 °C,20 °C,97%,61%,66%,18 kph,3 kph,23 kph,1013 hPa,1010 hPa,1008 hPa,7.9 mm
14,30 °C,25.8 °C,21.6 °C,25.6 °C,10.9 °C,21.1 °C,95%,60%,70%,14 kph,3 kph,24 kph,1013 hPa,1011 hPa,1009 hPa,2.5 mm
15,31.8 °C,26.3 °C,20.9 °C,24.4 °C,21.9 °C,18.9 °C,97%,83%,57%,18 kph,3 kph,21 kph,1014 hPa,1012 hPa,1010 hPa,0.5 mm
16,31.8 °C,26.8 °C,21.8 °C,21.7 °C,7.1 °C,18.3 °C,84%,48%,51%,14 kph,2 kph,21 kph,1015 hPa,1012 hPa,1009 hPa,0 mm
17,31.3 °C,25.7 °C,20.1 °C,21.1 °C,-1.1 °C,16.7 °C,85%,33%,53%,11 kph,2 kph,21 kph,1014 hPa,1012 hPa,1010 hPa,0 mm
18,31.5 °C,25.8 °C,20.1 °C,21.7 °C,9.6 °C,13.9 °C,82%,47%,40%,18 kph,4 kph,26 kph,1014 hPa,1012 hPa,1010 hPa,0 mm
19,31.2 °C,26.3 °C,21.5 °C,21.7 °C,19.4 °C,16.7 °C,84%,67%,46%,10 kph,4 kph,23 kph,1014 hPa,1012 hPa,1010 hPa,0 mm
20,28.2 °C,24.8 °C,21.4 °C,23.3 °C,21.5 °C,18.9 °C,93%,83%,66%,13 kph,2 kph,21 kph,1014 hPa,1012 hPa,1010 hPa,0 mm
21,30.2 °C,25.9 °C,21.6 °C,23.3 °C,21.2 °C,19.4 °C,93%,78%,61%,16 kph,4 kph,23 kph,1014 hPa,1012 hPa,1010 hPa,0 mm
22,30.1 °C,25.1 °C,20.1 °C,23.3 °C,21.2 °C,19.4 °C,95%,82%,63%,13 kph,3 kph,23 kph,1013 hPa,1011 hPa,1009 hPa,8.4 mm
23,29.5 °C,25.1 °C,20.7 °C,23.9 °C,21.8 °C,20 °C,95%,85%,67%,14 kph,3 kph,19 kph,1013 hPa,1011 hPa,1009 hPa,0.8 mm
24,29.4 °C,25.1 °C,20.8 °C,23.9 °C,22.1 °C,20 °C,96%,86%,69%,13 kph,3 kph,19 kph,1013 hPa,1011 hPa,1009 hPa,0.8 mm
25,30.6 °C,25.7 °C,20.8 °C,23.9 °C,17.4 °C,20 °C,97%,73%,61%,14 kph,3 kph,26 kph,1013 hPa,1011 hPa,1009 hPa,0 mm
26,31.2 °C,25.7 °C,20.3 °C,23.3 °C,21.4 °C,19.4 °C,96%,81%,49%,16 kph,4 kph,21 kph,1012 hPa,1010 hPa,1008 hPa,0 mm
27,30.1 °C,25.1 °C,20 °C,22.8 °C,20.7 °C,18.9 °C,93%,78%,58%,16 kph,4 kph,21 kph,1012 hPa,1010 hPa,1008 hPa,0 mm
28,31.1 °C,26.3 °C,21.5 °C,23.3 °C,21.5 °C,18.9 °C,95%,78%,60%,18 kph,4 kph,24 kph,1013 hPa,1011 hPa,1009 hPa,0 mm
29,30 °C,25.2 °C,20.3 °C,23.9 °C,13.8 °C,18.9 °C,95%,64%,62%,16 kph,4 kph,24 kph,1013 hPa,1011 hPa,1009 hPa,1.8 mm
