date,tempHigh,tempAvg,tempLow,dewHigh,dewAvg,dewLow,humHigh,humAvg,humLow,windHigh,windAvg,windGust,presHigh,presAvg,presLow,rain
2016,Temperature,,,Dew Point,,,Humidity,,,Speed,,,Pressure,,,Precip. Accum.
Feb,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
5,33.9 °C,28.9 °C,23.9 °C,25.6 °C,24.3 °C,22.8 °C,95%,79%,61%,14 kph,3 kph,21 kph,1008 hPa,1006 hPa,1005 hPa,1.8 mm
6,34.5 °C,28.8 °C,23 °C,25.6 °C,23.6 °C,21.7 °C,96%,80%,54%,8 kph,2 kph,19 kph,1010 hPa,1008 hPa,1005 hPa,0 mm
7,34.3 °C,28.1 °C,21.8 °C,23.9 °C,22.4 °C,20.6 °C,95%,78%,51%,24 kph,4 kph,24 kph,1011 hPa,1009 hPa,1007 hPa,0 mm
8,31.2 °C,26.4 °C,21.7 °C,25 °C,22.6 °C,21.1 °C,96%,83%,63%,10 kph,2 kph,19 kph,1011 hPa,1009 hPa,1007 hPa,0 mm
9,33.9 °C,27 °C,20.1 °C,23.3 °C,21.2 °C,19.4 °C,97%,77%,44%,14 kph,3 kph,19 kph,1012 hPa,1010 hPa,1007 hPa,0 mm
10,35.2 °C,27.7 °C,20.1 °C,23.3 °C,21.4 °C,19.4 °C,95%,73%,42%,11 kph,3 kph,27 kph,1011 hPa,1009 hPa,1007 hPa,0 mm
11,34.2 °C,28.8 °C,23.5 °C,23.3 °C,22.1 °C,20.6 °C,91%,74%,46%,23 kph,4 kph,31 kph,1011 hPa,1009 hPa,1007 hPa,0 mm
12,34.6 °C,27.3 °C,19.9 °C,22.8 °C,21.1 °C,18.9 °C,95%,74%,45%,11 kph,3 kph,26 kph,1013 hPa,1010 hPa,1007 hPa,0 mm
13,33.7 °C,26.7 °C,19.7 °C,25 °C,21.8 °C,18.9 °C,95%,77%,57%,13 kph,2 kph,21 kph,1012 hPa,1010 hPa,1008 hPa,0 mm
14,26.3 °C,24.3 °C,22.3 °C,24.4 °C,23.2 °C,21.7 °C,96%,93%,87%,6 kph,2 kph,16 kph,1013 hPa,1011 hPa,1008 hPa,65 mm
15,32.4 °C,27.2 °C,22 °C,27.2 °C,23.6 °C,21.1 °C,97%,87%,63%,6 kph,1 kph,10 kph,1013 hPa,1010 hPa,1008 hPa,0 mm
16,31.6 °C,26.8 °C,21.9 °C,25.6 °C,23 °C,21.1 °C,96%,83%,56%,21 kph,5 kph,39 kph,1014 hPa,1012 hPa,1009 hPa,0 mm
17,29.9 °C,26.4 °C,22.9 °C,25 °C,23 °C,21.7 °C,96%,90%,72%,16 kph,4 kph,27 kph,1014 hPa,1012 hPa,1009 hPa,7.9 mm
18,30.4 °C,26.1 °C,21.7 °C,23.9 °C,21.4 °C,19.4 °C,96%,78%,52%,26 kph,5 kph,37 kph,1014 hPa,1012 hPa,1009 hPa,0 mm
19,31.2 °C,26.4 °C,21.7 °C,24.4 °C,21.6 °C,20 °C,91%,79%,58%,26 kph,4 kph,26 kph,1013 hPa,1011 hPa,1009 hPa,0 mm
20,34.4 °C,27.1 °C,19.7 °C,22.8 °C,20.2 °C,17.8 °C,96%,73%,40%,21 kph,3 kph,24 kph,1014 hPa,1011 hPa,1009 hPa,0 mm
21,25.5 °C,22.4 °C,19.4 °C,22.2 °C,20.1 °C,18.9 °C,97%,90%,75%,5 kph,2 kph,6 kph,1014 hPa,1012 hPa,1010 hPa,0 mm
22,33.7 °C,27.7 °C,21.7 °C,24.4 °C,22 °C,20 °C,95%,76%,50%,10 kph,2 kph,19 kph,1014 hPa,1012 hPa,1010 hPa,0 mm
23,33.8 °C,27.7 °C,21.7 °C,25 °C,22.4 °C,20.6 °C,95%,79%,56%,19 kph,3 kph,21 kph,1013 hPa,1011 hPa,1008 hPa,0 mm
24,32.9 °C,26.9 °C,20.8 °C,23.3 °C,21.4 °C,19.4 °C,96%,75%,48%,19 kph,4 kph,35 kph,1013 hPa,1010 hPa,1008 hPa,0 mm
25,34.2 °C,27.8 °C,21.4 °C,22.8 °C,21.2 °C,18.9 °C,93%,71%,45%,21 kph,5 kph,35 kph,1013 hPa,1011 hPa,1009 hPa,0 mm
